date,time,origin,destination,total_count
2018-02-2,05:00:00,AM,MD,40
2018-02-2,05:00:00,AM,ME,40
2018-02-2,05:00:00,AM,MP,40
2018-02-2,05:00:00,AM,MS,40
2018-02-2,05:00:00,AM,MU,40
2018-02-2,05:00:00,AM,NA,40
2018-02-2,05:00:00,AM,NE,40
2018-02-2,05:00:00,AM,NT,43
2018-02-2,05:00:00,AM,NV,178
2018-02-2,05:00:00,AM,OR,63
2018-02-2,05:00:00,AM,OT,57
2018-02-2,05:00:00,AM,PG,40
2018-02-2,05:00:00,AM,PL,47
2018-02-2,05:00:00,AM,PN,73
2018-02-2,05:00:00,AM,PR,55
2018-02-2,05:00:00,AM,QT,162
2018-02-2,05:00:00,AM,RC,55
2018-02-2,05:00:00,AM,RV,40
2018-02-2,05:00:00,AM,SB,139
2018-02-2,05:00:00,AM,SE,92
2018-02-2,05:00:00,AM,SG,601
2018-02-2,05:00:00,AM,SI,40
2018-02-2,05:00:00,AM,SK,40
2018-02-2,05:00:00,AM,SL,40
2018-02-2,05:00:00,AM,SM,40
2018-02-2,05:00:00,AM,SR,40
2018-02-2,05:00:00,AM,SV,40
2018-02-2,05:00:00,AM,TH,40
2018-02-2,05:00:00,AM,TM,185
2018-02-2,05:00:00,AM,TN,45
2018-02-2,05:00:00,AM,TP,167
2018-02-2,05:00:00,AM,TS,82
2018-02-2,05:00:00,AM,WC,40
2018-02-2,05:00:00,AM,WD,111
2018-02-2,05:00:00,AM,WI,40
2018-02-2,05:00:00,AM,YS,224
2018-02-2,06:00:00,AM,AM,3954
2018-02-2,06:00:00,AM,BD,347
2018-02-2,06:00:00,AM,BK,115
2018-02-2,06:00:00,AM,BL,72
2018-02-2,06:00:00,AM,BM,558
2018-02-2,06:00:00,AM,BP,57
2018-02-2,06:00:00,AM,BS,1044
2018-02-2,06:00:00,AM,BT,204
2018-02-2,06:00:00,AM,CB,40
2018-02-2,06:00:00,AM,CC,40
2018-02-2,06:00:00,AM,CH,290
2018-02-2,06:00:00,AM,CK,115
2018-02-2,06:00:00,AM,CL,109
2018-02-2,06:00:00,AM,DT,792
2018-02-2,06:00:00,AM,GL,467
2018-02-2,06:00:00,AM,HG,479
2018-02-2,06:00:00,AM,JE,189
2018-02-2,06:00:00,AM,JW,180
2018-02-2,06:00:00,AM,KL,356
2018-02-2,06:00:00,AM,LK,40
2018-02-2,06:00:00,AM,MD,40
2018-02-2,06:00:00,AM,ME,40
2018-02-2,06:00:00,AM,MP,73
2018-02-2,06:00:00,AM,MS,40
2018-02-2,06:00:00,AM,MU,65
2018-02-2,06:00:00,AM,NA,40
2018-02-2,06:00:00,AM,NT,86
