ubzone Code,Subzone Name
BMSZ05,SINGAPORE GENERAL HOSPITAL
QTSZ09,SINGAPORE POLYTECHNIC
ORSZ03,SOMERSET
SISZ02,SOUTHERN GROUP
YSSZ06,SPRINGLEAF
SVSZ01,STRAITS VIEW
WISZ03,SUDONG
RCSZ03,SUNGEI ROAD
CLSZ02,SUNSET WAY
BTSZ02,SWISS CLUB
AMSZ08,TAGORE
HGSZ08,TAI SENG
JWSZ04,TAMAN JURONG
TMSZ02,TAMPINES EAST
TMSZ01,TAMPINES NORTH
TMSZ03,TAMPINES WEST
ORSZ01,TANGLIN
QTSZ04,TANGLIN HALT
SMSZ02,TANJONG IRAU
DTSZ09,TANJONG PAGAR
KLSZ05,TANJONG RHU
JESZ08,TEBAN GARDENS
CKSZ01,TECK WHYE
BMSZ13,TELOK BLANGAH DRIVE
BMSZ15,TELOK BLANGAH RISE
BMSZ14,TELOK BLANGAH WAY
THSZ01,TENGAH
TSSZ01,TENGEH
SBSZ07,THE WHARVES
BMSZ10,TIONG BAHRU
BMSZ04,TIONG BAHRU STATION
TPSZ02,TOA PAYOH CENTRAL
TPSZ01,TOA PAYOH WEST
JESZ03,TOH GUAN
CLSZ01,TOH TUCK
AMSZ04,TOWNSVILLE
HGSZ05,TRAFALGAR
TSSZ04,TUAS BAY
TSSZ03,TUAS NORTH
TSSZ02,TUAS PROMENADE
TSSZ05,TUAS VIEW
TSSZ06,TUAS VIEW EXTENSION
BLSZ01,TUKANG
SKSZ02,TURF CLUB
TNSZ04,TYERSALL
BTSZ04,ULU PANDAN
SGSZ07,UPPER PAYA LEBAR
BSSZ01,UPPER THOMSON
RCSZ10,VICTORIA
PGSZ05,WATERWAY EAST
JWSZ01,WENYA
CLSZ05,WEST COAST
WCSZ01,WESTERN WATER CATCHMENT
WDSZ05,WOODGROVE
WDSZ03,WOODLANDS EAST
WDSZ01,WOODLANDS REGIONAL CENTRE
WDSZ04,WOODLANDS SOUTH
WDSZ06,WOODLANDS WEST
TPSZ08,WOODLEIGH
TMSZ05,XILIN
CKSZ06,YEW TEE
AMSZ10,YIO CHU KANG
AMSZ12,YIO CHU KANG EAST
AMSZ11,YIO CHU KANG NORTH
AMSZ09,YIO CHU KANG WEST
YSSZ01,YISHUN CENTRAL
YSSZ03,YISHUN EAST
YSSZ04,YISHUN SOUTH
YSSZ09,YISHUN WEST
JESZ02,YUHUA EAST
JESZ01,YUHUA WEST
JWSZ08,YUNNAN
