,date,time,origin,origin_name,origin_lon,origin_lat,destination,dest_name,dest_lon,dest_lat,total_count,key,driving,public,ratio,difference
6602,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,PR,PASIR RIS,103.9483,1.37862,49,DTPR,21,47,2.24,26
6619,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,QT,QUEENSTOWN,103.78434,1.28916,57,DTQT,17,44,2.59,27
6642,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,RC,ROCHOR,103.85325,1.30426,61,DTRC,9,23,2.56,14
6666,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,SE,SENGKANG,103.8877,1.39127,51,DTSE,23,49,2.13,26
6684,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,SG,SERANGOON,103.86782,1.3652,62,DTSG,16,50,3.13,34
6704,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,SR,SINGAPORE RIVER,103.84121,1.29011,70,DTSR,11,23,2.09,12
6725,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,SV,STRAITS VIEW,103.85878,1.27124,51,DTSV,6,14,2.33,8
6748,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,TM,TAMPINES,103.95422,1.34373,72,DTTM,21,52,2.48,31
6772,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,TP,TOA PAYOH,103.86106,1.33668,62,DTTP,14,42,3.00,28
6792,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,WD,WOODLANDS,103.78771,1.44068,41,DTWD,29,55,1.90,26
6813,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,YS,YISHUN,103.83756,1.41544,47,DTYS,27,43,1.59,16
7133,2/2/18,0:00:00,GL,GEYLANG,103.88953,1.3209,BD,BEDOK,103.92841,1.32405,228,GLBD,11,21,1.91,10
7157,2/2/18,0:00:00,GL,GEYLANG,103.88953,1.3209,DT,DOWNTOWN CORE,103.8543,1.28508,45,GLDT,15,27,1.80,12
7181,2/2/18,0:00:00,GL,GEYLANG,103.88953,1.3209,HG,HOUGANG,103.8898,1.36364,86,GLHG,16,36,2.25,20
7205,2/2/18,0:00:00,GL,GEYLANG,103.88953,1.3209,KL,KALLANG,103.86643,1.31033,197,GLKL,12,23,1.92,11
7229,2/2/18,0:00:00,GL,GEYLANG,103.88953,1.3209,MP,MARINE PARADE,103.89627,1.30023,167,GLMP,12,25,2.08,13
7253,2/2/18,0:00:00,GL,GEYLANG,103.88953,1.3209,SE,SENGKANG,103.8877,1.39127,45,GLSE,24,43,1.79,19
7275,2/2/18,0:00:00,GL,GEYLANG,103.88953,1.3209,TM,TAMPINES,103.95422,1.34373,55,GLTM,16,38,2.38,22
7299,2/2/18,0:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,88,GLTP,12,48,4.00,36
7323,2/2/18,0:00:00,GL,GEYLANG,103.88953,1.3209,WD,WOODLANDS,103.78771,1.44068,49,GLWD,27,59,2.19,32
7876,2/2/18,0:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,74,HGBD,19,52,2.74,33
7900,2/2/18,0:00:00,HG,HOUGANG,103.8898,1.36364,GL,GEYLANG,103.88953,1.3209,59,HGGL,18,35,1.94,17
7924,2/2/18,0:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,116,HGPL,11,54,4.91,43
7948,2/2/18,0:00:00,HG,HOUGANG,103.8898,1.36364,SE,SENGKANG,103.8877,1.39127,213,HGSE,12,23,1.92,11
7972,2/2/18,0:00:00,HG,HOUGANG,103.8898,1.36364,SG,SERANGOON,103.86782,1.3652,246,HGSG,10,25,2.50,15
8554,2/2/18,0:00:00,JE,JURONG EAST,103.73479,1.32044,BK,BUKIT BATOK,103.75474,1.35565,126,JEBK,13,37,2.85,24
8578,2/2/18,0:00:00,JE,JURONG EAST,103.73479,1.32044,CK,CHOA CHU KANG,103.74719,1.38555,41,JECK,15,23,1.53,8
8598,2/2/18,0:00:00,JE,JURONG EAST,103.73479,1.32044,CL,CLEMENTI,103.76074,1.3176,105,JECL,7,15,2.14,8
8622,2/2/18,0:00:00,JE,JURONG EAST,103.73479,1.32044,JW,JURONG WEST,103.70487,1.3416,308,JEJW,14,26,1.86,12
9192,2/2/18,0:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,49,JWBK,17,57,3.35,40
9215,2/2/18,0:00:00,JW,JURONG WEST,103.70487,1.3416,BL,BOON LAY,103.70223,1.3148,89,JWBL,13,27,2.08,14
9239,2/2/18,0:00:00,JW,JURONG WEST,103.70487,1.3416,JE,JURONG EAST,103.73479,1.32044,234,JWJE,14,28,2.00,14
9263,2/2/18,0:00:00,JW,JURONG WEST,103.70487,1.3416,WC,WESTERN WATER CATCHMENT,103.68972,1.38214,72,JWWC,11,38,3.45,27
9864,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,AM,ANG MO KIO,103.8421,1.38009,45,KLAM,17,55,3.24,38
9887,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,BD,BEDOK,103.92841,1.32405,77,KLBD,16,31,1.94,15
9911,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,BM,BUKIT MERAH,103.82311,1.27548,45,KLBM,16,37,2.31,21
9935,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,DT,DOWNTOWN CORE,103.8543,1.28508,70,KLDT,10,27,2.70,17
9959,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,GL,GEYLANG,103.88953,1.3209,266,KLGL,10,26,2.60,16
9983,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,HG,HOUGANG,103.8898,1.36364,57,KLHG,14,35,2.50,21
10007,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,MP,MARINE PARADE,103.89627,1.30023,43,KLMP,12,36,3.00,24
10030,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,NV,NOVENA,103.83531,1.32699,99,KLNV,11,38,3.45,27
10054,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,RC,ROCHOR,103.85325,1.30426,63,KLRC,10,21,2.10,11
10078,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,SE,SENGKANG,103.8877,1.39127,42,KLSE,19,45,2.37,26
10099,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,TM,TAMPINES,103.95422,1.34373,53,KLTM,18,44,2.44,26
10123,2/2/18,0:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,74,KLTP,10,43,4.30,33
10735,2/2/18,0:00:00,MP,MARINE PARADE,103.89627,1.30023,BD,BEDOK,103.92841,1.32405,143,MPBD,9,33,3.67,24
10759,2/2/18,0:00:00,MP,MARINE PARADE,103.89627,1.30023,GL,GEYLANG,103.88953,1.3209,182,MPGL,12,24,2.00,12
11817,2/2/18,0:00:00,NV,NOVENA,103.83531,1.32699,KL,KALLANG,103.86643,1.31033,92,NVKL,14,33,2.36,19
11841,2/2/18,0:00:00,NV,NOVENA,103.83531,1.32699,TP,TOA PAYOH,103.86106,1.33668,128,NVTP,11,28,2.55,17
12416,2/2/18,0:00:00,OR,ORCHARD,103.83358,1.30381,BD,BEDOK,103.92841,1.32405,41,ORBD,18,43,2.39,25
12432,2/2/18,0:00:00,OR,ORCHARD,103.83358,1.30381,KL,KALLANG,103.86643,1.31033,42,ORKL,13,35,2.69,22
12456,2/2/18,0:00:00,OR,ORCHARD,103.83358,1.30381,NV,NOVENA,103.83531,1.32699,42,ORNV,10,22,2.20,12
12479,2/2/18,0:00:00,OR,ORCHARD,103.83358,1.30381,RC,ROCHOR,103.85325,1.30426,41,ORRC,7,19,2.71,12
