origin,destination,road,public
BUKIT TIMAH,CHOA CHU KANG,18,45
BUKIT TIMAH,CLEMENTI,9,34
BUKIT TIMAH,DOWNTOWN CORE,18,45
BUKIT TIMAH,GEYLANG,19,48
BUKIT TIMAH,HOUGANG,18,48
BUKIT TIMAH,JURONG EAST,14,51
BUKIT TIMAH,JURONG WEST,20,67
BUKIT TIMAH,KALLANG,16,40
BUKIT TIMAH,LIM CHU KANG,26,91
BUKIT TIMAH,MANDAI,23,70
BUKIT TIMAH,MARINA EAST,24,53
BUKIT TIMAH,MARINA SOUTH,20,59
BUKIT TIMAH,MARINE PARADE,17,54
BUKIT TIMAH,MUSEUM,14,41
BUKIT TIMAH,NEWTON,11,26
BUKIT TIMAH,NORTH-EASTERN ISLANDS,1000,26
BUKIT TIMAH,NOVENA,9,36
BUKIT TIMAH,ORCHARD,12,37
BUKIT TIMAH,OUTRAM,18,40
BUKIT TIMAH,PASIR RIS,24,66
BUKIT TIMAH,PAYA LEBAR,19,74
BUKIT TIMAH,PIONEER,19,43
BUKIT TIMAH,PUNGGOL,22,65
BUKIT TIMAH,QUEENSTOWN,1000,65
BUKIT TIMAH,RIVER VALLEY,15,49
BUKIT TIMAH,ROCHOR,10,28
BUKIT TIMAH,SELETAR,18,86
BUKIT TIMAH,SEMBAWANG,24,58
BUKIT TIMAH,SENGKANG,25,58
BUKIT TIMAH,SERANGOON,14,52
BUKIT TIMAH,SIMPANG,1000,52
BUKIT TIMAH,SINGAPORE RIVER,17,47
BUKIT TIMAH,SOUTHERN ISLANDS,18,46
BUKIT TIMAH,STRAITS VIEW,19,35
BUKIT TIMAH,SUNGEI KADUT,16,34
BUKIT TIMAH,TAMPINES,23,76
BUKIT TIMAH,TANGLIN,12,33
BUKIT TIMAH,TENGAH,1000,33
BUKIT TIMAH,TOA PAYOH,12,51
BUKIT TIMAH,TUAS,29,107
BUKIT TIMAH,WESTERN ISLANDS,1000,107
BUKIT TIMAH,WESTERN WATER CATCHMENT,20,77
BUKIT TIMAH,WOODLANDS,20,54
BUKIT TIMAH,YISHUN,27,57
CENTRAL WATER CATCHMENT,ANG MO KIO,12,32
CENTRAL WATER CATCHMENT,BEDOK,17,78
CENTRAL WATER CATCHMENT,BISHAN,5,27
CENTRAL WATER CATCHMENT,BOON LAY,24,94
